,Brand,Product Name,Category,Production Year ,Link to Product Pic,Wholesale Price (Ib),Market Price (Ib),Profit Made,Profit Margin,Latest Url
1623,Walmart,Starbucks Brown Sugar Cinnamon Ground Coffee,Ground  ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20veranda%20blonde%20roast%20(12%20oz).jpeg,$5.38,$7.48,$2.10,40.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Veranda%20Blonde%20Roast%20(12%20oz).jpeg
1624,Walmart,Starbucks Caffè Verona Ground Coffee,Ground  ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20veranda%20blonde%20roast%20(12%20oz).jpeg,$5.11,$7.10,$1.99,39.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Veranda%20Blonde%20Roast%20(12%20oz).jpeg
1625,Walmart,Starbucks Pike Place Pod Coffee,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20pike%20place%20k%e2%80%91cup%20(converted%20to%20per%20lb).jpeg,$10.97,$15.66,$4.69,43.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Pike%20Place%20K%E2%80%91Cup%20(converted%20to%20per%20lb).jpeg
1626,Walmart,Starbucks House Blend Pod Coffee,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20pike%20place%20k%e2%80%91cup%20(converted%20to%20per%20lb).jpeg,$10.97,$15.66,$4.69,43.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Pike%20Place%20K%E2%80%91Cup%20(converted%20to%20per%20lb).jpeg
1627,Walmart,Starbucks French Roast Pod Coffee,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20caffe%cc%80%20verona%20(12%20oz).jpeg,$39.19,$55.99,$16.80,43.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Caffe%CC%80%20Verona%20(12%20oz).jpeg
1628,Walmart,Starbucks Mocha Flavored Pod Coffee,Pod ,2025,https://storage.googleapis.com/coffee-aysa2025/starbucks%20caffe%cc%80%20verona%20(12%20oz).jpeg,$10.49,$14.99,$4.50,43.00%,https://storage.googleapis.com/coffee-aysa2025/Starbucks%20Caffe%CC%80%20Verona%20(12%20oz).jpeg
1629,Walmart,Nescafé Clasico Colombia Medium Roast Instand Coffee,Instand ,2025,https://storage.googleapis.com/coffee-aysa2025/nescafe%20instant%20soluble%20coffee.jpeg,$5.09,$6.98,$1.89,38.00%,https://storage.googleapis.com/coffee-aysa2025/Nescafe%20Instant%20Soluble%20Coffee.jpeg
1630,Walmart,Nescafé Clasico Dark Roast Instand Coffee,Instand ,2025,https://storage.googleapis.com/coffee-aysa2025/nescafe%20instant%20soluble%20coffee.jpeg,$7.29,$9.98,$2.69,37.00%,https://storage.googleapis.com/coffee-aysa2025/Nescafe%20Instant%20Soluble%20Coffee.jpeg
1631,Walmart,Nescafé Gold Instant Espresso Instand Coffee,Instand ,2025,https://storage.googleapis.com/coffee-aysa2025/nespresso%20original%20capsules%20(30%20ct).jpeg,$10.22,$13.99,$3.77,37.00%,https://storage.googleapis.com/coffee-aysa2025/Nespresso%20Original%20Capsules%20(30%20ct).jpeg
1632,Walmart,Nescafé Gold Jar – Roast Ground Coffee,Ground ,2025,https://storage.googleapis.com/coffee-aysa2025/nescafe%20instant%20soluble%20coffee.jpeg,$5.82,$7.98,$2.16,38.00%,https://storage.googleapis.com/coffee-aysa2025/Nescafe%20Instant%20Soluble%20Coffee.jpeg
